アビエイト	Abiate
奈落	Abyss
アドガルド	Adgard
アドモンサ	Admonsah
アガンテ	Agante
アガレス種	Agaress
アガレス	Agaress
アグリ	Agri
アグザッド渓谷	Agzadd Canyon
アイヒア湿地帯	Aihiya Swamp
アル	Al
アル・シャリオ	Al Shario
アルバレスト	Albarest
アルビス	Albis
アルビス河	Albis River
アルコル	Alcor
アルデバラン	Aldebaran
アルデバスターズ	Aldebusters
アレク	Alec Hoshin
アルナイル	Alnair
アルファルド	Alphard
アルビエロ	Alviero Juukulius
アムル	Amule
アナスタシア	Anastasia
アナスタシア陣営	Anastasia Camp
依り代	Anchor
アネモネ	Anemone
アンネローゼ	Annerose Miload
アンスリウム	Anthurium
強欲の使徒	Apostle of Greed
リンガ	Appa
アラキア	Arakiya
アーブ	Arbe
アーチ	Archi Elior
アーガイル	Argyle
アーラム	Arlam
アーラム村	Arlam Village
アーナンシー	Arnancy
アルネブ	Arneb
アストレア	Astrea
アストレア邸	Astrea Manor
アウグリア砂丘	Augria Sand Dunes
オーレリー	Aurélie
権能	Authority
エイブリーク	Averyk
アザミキ	Azamiki
ボーク陽樹	Balk Yang Tree
バルロイ	Balleroy Temeglyph
バロエ茸	Baloe Mushroom
バナン	Banan
バニナ	Banina
バーリエル	Barielle
バーリエル男爵邸	Barielle Baronal Estate
バロネス	Baroness
バルトロイ	Barthroy Fitts
蝙蝠人	Bat Humans
バテンカイトス	Batenkaitos
狂戦病	Battle Craze Syndrome
プリステラ攻防戦	Battle for Priestella
帝都攻防戦	Battle for the Imperial Capital
バウマン	Baumann
バームベーム	Baumbehm
獣化	Beastification
ベアトリス	Beatrice
ベリ	Beli Hainelga
ベルカ	Belka
ベルモント	Belmont
愛し子	Beloved Children
ベルステツ	Berstetz Fondalfon
ビーン	Biehn Argyle
ビクラム	Bikram Edditz
鳥文	Bird Mail
鳥	Birds
黒鹿	Black Deer
黒狗	Black Dog
黒蛇	Black Serpent
黒蛇汚染地帯	Black Serpent Contamination Zone
黒銀貨	Black Silver Coin
祝福	Blessing
人除けの祝福	Blessing of People Repulsion
邪龍	Blight Dragon
悲恋歌人	Blighted Love Balladeer
血涙鬼	Blood-Weeping Oni
猪人	Boar Humans
ボッコの実	Bokko Fruit
ボノボ	Bonobo
叡智の書	Book of Wisdom
死者の書	Book of the Dead
ボルドー	Bordeaux Zergev
